Name,Team,BYE,Pos,ADP,Point Proj,ECR Rank,Tier
Ja'Marr Chase,CIN,10,WR,1,332.9,1,1
Bijan Robinson,ATL,5,RB,2,316.3,2,1
Justin Jefferson,MIN,6,WR,5,306.5,4,1
Saquon Barkley,PHI,9,RB,3,311.4,9,2
Jahmyr Gibbs,DET,8,RB,4,304.2,5,2
CeeDee Lamb,DAL,10,WR,6,302.9,3,1
Christian McCaffrey,SF,14,RB,7,285.8,13,3
Puka Nacua,LAR,8,WR,8,288.9,8,2
Malik Nabers,NYG,14,WR,10,289.1,6,2
Amon-Ra St. Brown,DET,8,WR,9,277.6,7,2
Ashton Jeanty,LV,8,RB,11,274.7,18,3
De'Von Achane,MIA,12,RB,13,286.9,15,3
Nico Collins,HOU,6,WR,14,282.8,10,2
Brian Thomas Jr.,JAC,8,WR,15,270.6,11,2
A.J. Brown,PHI,9,WR,17,261.3,14,3
Drake London,ATL,5,WR,19,266.9,12,3
Jonathan Taylor,IND,11,RB,20,257.6,31,4
Josh Jacobs,GB,5,RB,16,266.9,29,4
Derrick Henry,BAL,7,RB,12,277.5,21,4
Brock Bowers,LV,8,TE,18,251,16,3
Trey McBride,ARI,8,TE,26,247.6,19,3
Bucky Irving,TB,9,RB,22,258,28,4
Kyren Williams,LAR,8,RB,24,252.9,35,5
Tee Higgins,CIN,10,WR,29,255.5,23,4
Tyreek Hill,MIA,12,WR,28,250.4,25,4
Ladd McConkey,LAC,12,WR,25,251.1,17,3
Davante Adams,LAR,8,WR,40,246.7,30,4
Josh Allen,BUF,7,QB,23,360.6,24,4
Lamar Jackson,BAL,7,QB,21,364.4,26,4
Jayden Daniels,WAS,12,QB,30,354.6,34,5
Jalen Hurts,PHI,9,QB,36,352.3,36,5
Chase Brown,CIN,10,RB,27,250,27,4
James Cook,BUF,7,RB,31,234.1,44,5
Jaxon Smith-Njigba,SEA,8,WR,33,234.5,20,3
Terry McLaurin,WAS,12,WR,41,231.4,39,5
Garrett Wilson,NYJ,9,WR,35,229.8,22,4
Kenneth Walker III,SEA,8,RB,37,228.9,42,5
Omarion Hampton,LAC,12,RB,44,221.8,48,5
Joe Burrow,CIN,10,QB,34,333.4,46,5
George Kittle,SF,14,TE,39,225.7,32,4
Alvin Kamara,NO,11,RB,38,245,40,5
Chuba Hubbard,CAR,14,RB,45,226.2,51,6
James Conner,ARI,8,RB,46,228.8,50,6
Breece Hall,NYJ,9,RB,32,229.2,41,5
Mike Evans,TB,9,WR,42,242.1,33,5
Marvin Harrison Jr.,ARI,8,WR,43,232.1,37,5
DK Metcalf,PIT,5,WR,48,229.7,43,5
DJ Moore,CHI,5,WR,47,228.8,38,5
Rashee Rice,KC,10,WR,49,195.4,58,6
Xavier Worthy,KC,10,WR,56,217,54,6
Joe Mixon,HOU,6,RB,51,180.9,93,8
D'Andre Swift,CHI,5,RB,55,200,65,6
Zay Flowers,BAL,7,WR,59,210.4,52,6
Courtland Sutton,DEN,12,WR,53,219,45,5
Calvin Ridley,TEN,10,WR,70,206.4,56,6
DeVonta Smith,PHI,9,WR,54,223.5,47,5
Jaylen Waddle,MIA,12,WR,75,204.1,53,6
Jerry Jeudy,CLE,9,WR,76,208.5,67,7
Jameson Williams,DET,8,WR,62,201,55,6
George Pickens,DAL,10,WR,67,204.2,57,6
Sam LaPorta,DET,8,TE,50,186.6,71,7
Patrick Mahomes,KC,10,QB,52,311,61,6
Baker Mayfield,TB,9,QB,64,305.2,69,7
Rome Odunze,CHI,5,WR,80,185.8,76,7
Tetairoa McMillan,CAR,14,WR,68,206.2,49,6
Travis Hunter,JAC,8,WR,66,196.1,63,6
TreVeyon Henderson,NE,14,RB,60,194.8,59,6
Aaron Jones,MIN,6,RB,65,194.6,68,7
T.J. Hockenson,MIN,6,TE,61,179.5,62,6
David Montgomery,DET,8,RB,57,198.6,64,6
Kaleb Johnson,PIT,5,RB,71,173.9,81,7
RJ Harvey,DEN,12,RB,63,187.3,72,7
